name	taxonomy_id	taxonomy_lvl	PM06-C1D01_num	PM06-C1D01_frac	PM06-C1D02_num	PM06-C1D02_frac	PM06-C1D15_num	PM06-C1D15_frac	PM06-C1D36_num	PM06-C1D36_frac	PM06-S1_num	PM06-S1_frac
Cercospora	29002	G	2	0.00000	10	0.00000	9	0.00000	13	0.00000	1	0.00000
Schizosaccharomyces	4895	G	18	0.00001	5	0.00000	11	0.00000	15	0.00000	0	0.00000
Cryptococcus	5206	G	159	0.00006	12	0.00000	27	0.00001	27	0.00001	0	0.00000
Moniliophthora	221102	G	3	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ustilago	5269	G	54	0.00002	29	0.00001	15	0.00000	46	0.00001	0	0.00000
Malassezia	55193	G	11	0.00000	24	0.00000	5	0.00000	8	0.00000	2	0.00000
Encephalitozoon	6033	G	73	0.00003	1	0.00000	0	0.00000	3	0.00000	0	0.00000
Plasmodium	5820	G	292	0.00011	111	0.00002	155	0.00004	156	0.00003	3	0.00000
Babesia	5864	G	57	0.00002	8	0.00000	13	0.00000	42	0.00001	3	0.00000
Theileria	5873	G	45	0.00002	40	0.00001	8	0.00000	20	0.00000	0	0.00000
Toxoplasma	5810	G	346	0.00013	47	0.00001	60	0.00002	32	0.00001	1	0.00000
Neospora	29175	G	20	0.00001	9	0.00000	17	0.00000	23	0.00000	0	0.00000
Besnoitia	94642	G	17	0.00001	6	0.00000	24	0.00001	25	0.00000	1	0.00000
Cryptosporidium	5806	G	13	0.00001	5	0.00000	6	0.00000	4	0.00000	0	0.00000
Phaeodactylum	2849	G	28	0.00001	8	0.00000	5	0.00000	10	0.00000	0	0.00000
Thalassiosira	35127	G	14	0.00001	4	0.00000	10	0.00000	21	0.00000	0	0.00000
Bigelowiella	227085	G	4	0.00000	1	0.00000	1	0.00000	1	0.00000	0	0.00000
Trypanosoma	5690	G	137	0.00005	3	0.00000	16	0.00000	9	0.00000	0	0.00000
Leishmania	5658	G	80	0.00003	34	0.00001	38	0.00001	89	0.00002	0	0.00000
Dictyostelium	5782	G	71	0.00003	14	0.00000	10	0.00000	26	0.00001	0	0.00000
Guillardia	55528	G	8	0.00000	0	0.00000	1	0.00000	2	0.00000	0	0.00000
Methanobrevibacter	2172	G	139	0.00005	22	0.00000	28	0.00001	39	0.00001	0	0.00000
Methanosphaera	2316	G	121	0.00005	5	0.00000	4	0.00000	2	0.00000	0	0.00000
Methanobacterium	2160	G	25	0.00001	1	0.00000	5	0.00000	8	0.00000	0	0.00000
Methanococcus	2184	G	88	0.00003	10	0.00000	27	0.00001	28	0.00001	0	0.00000
